layer_idx,layer_name,numel,err_mean,err_std,err_abs_max,err_rmse,delta_int8,theoretical_std,std_ratio,err_kurtosis,err_skewness,ks_stat,ks_pvalue,pct_within_half_delta,pct_within_delta,entropy_ratio,pch_std_ratio_mean,pch_std_ratio_median,pch_kurtosis_mean,pch_ks_stat_mean
36,model.input_blocks.10.0.in_layers.2,884736,-3.8675878499816463e-07,0.0010708466870710254,0.00463443249464035,0.0010708466870710254,0.007924906850799801,0.0022877235518059874,1.000209452507925,-0.1452386907670764,0.0007137429491549984,0.007008304643631003,0.7070880534648608,0.9990822120949074,1.0,0.9999696664780766,0.9999312492894923,1.0001094146212735,-1.2002105253808626,0.0277504254207015
37,model.input_blocks.10.0.emb_layers.1,393216,-1.2562526308101951e-06,0.00034375631366856396,0.001799076795578003,0.0003437585837673396,0.003426857703314053,0.0009892486087414558,0.9999607515079835,-0.0008740602664585317,-0.006179329503658944,0.009302395868301394,0.3502140006986566,0.9999440511067709,1.0,0.999888455918548,0.9987705622206752,0.998104940310413,-1.194312341585581,0.038459329206186034
38,model.input_blocks.10.0.cond_emb_layers.1,196608,-2.0101722384424647e-06,0.0008880304521881044,0.0024863481521606445,0.00088803272228688,0.004969801255098478,0.0014346580462250233,0.9995894034395778,-0.9131416319886636,0.0006881343945275624,0.006312155818939236,0.8180028234497004,0.9999898274739584,1.0,0.9997891080087394,0.9984154135546852,0.9980346350464196,-1.1903117136998098,0.039102828207736216
39,model.input_blocks.10.0.out_layers.3,1327104,-1.1103326187367202e-06,0.0010101123480126262,0.0029760077595710754,0.0010101129300892353,0.005685303858884676,0.001641205856675943,0.9997081274536636,-0.9076124163446524,0.0013188347436967297,0.01092989006042483,0.1819262315701139,0.9998726550443673,1.0,0.9999822469590868,0.9995106025260257,0.9993684735351052,-1.1989026698072445,0.027079685278236867
40,model.input_blocks.11.0.in_layers.2,1327104,9.145849730884947e-07,0.0009753916529007256,0.004378792829811573,0.0009753921185620129,0.007452516809223205,0.002151356292972614,0.9992689518398193,-0.14623257605208417,-0.0023099328466942293,0.009120562028884893,0.3740692609185554,0.9989616488233025,1.0,0.9999777111581373,0.9990932661085407,0.9987390297839043,-1.198069941372686,0.027108181392773986
41,model.input_blocks.11.0.emb_layers.1,393216,1.1102723185274499e-08,0.00032328307861462235,0.0015311315655708313,0.0003232830495107919,0.0029672540313615573,0.0008565724568802988,0.9989534556771704,-0.13031211814400878,-0.006742974754108858,0.014896226406097418,0.02340382812681562,0.9999618530273438,1.0,0.999909108181625,0.9977975550734458,0.9982918532038934,-1.1920477359462756,0.03785398160107434
42,model.input_blocks.11.0.cond_emb_layers.1,196608,-1.6721099882488488e-07,0.0008577858097851276,0.002779196947813034,0.0008577859262004495,0.0051929859195168565,0.0014990859092654967,0.9991861547447786,-0.9104691548182982,0.0037942497819726784,0.008006324386596653,0.5404163835011326,0.9998575846354166,1.0,0.9998243048713271,0.9980058377517619,0.9983589064622835,-1.1907869796043344,0.03928228716055552
43,model.input_blocks.11.0.out_layers.3,1327104,6.53320796573098e-07,0.0010249607730656862,0.003653501160442829,0.0010249610058963299,0.006283790811778992,0.0018139741583559491,1.000194586196596,-0.7561029867259221,-0.0016989703520089783,0.009743959426879889,0.2965504894201746,0.9994642469618056,1.0,0.9999797137582555,1.0000319377923441,0.9997868466369161,-1.198625612547224,0.027125098497917253
44,model.input_blocks.12.0.in_layers.2,1327104,1.394795276610239e-06,0.0007997503853403032,0.002828039228916168,0.0007997514330781996,0.004369672006509435,0.0012614156546142973,0.9998236510812827,-0.9660458642819334,-0.002154248485238716,0.0070255006790160834,0.7042183015381144,0.9988177264178241,1.0,0.9999815760623794,0.9996281411819182,0.9992936257870946,-1.1986369912512547,0.027635692618166407
45,model.input_blocks.12.0.emb_layers.1,393216,8.646033506920503e-07,0.0003223348467145115,0.0009356364607810974,0.0003223360108677298,0.0018433995955572354,0.0005321436263595085,1.00004871051668,-0.9031895500289147,-0.002552928589245829,0.008884276533126845,0.40655812902421395,0.9999847412109375,1.0,0.9999031558092666,0.9989293244029532,0.9990846715223036,-1.1969437470067252,0.03795219387393445
46,model.input_blocks.12.0.cond_emb_layers.1,196608,-1.3470183830577298e-06,0.0008736714953556657,0.002402074635028839,0.000873672601301223,0.00473501715134448,0.0013668817134731151,0.9996181036795047,-1.0043941965954004,0.0025913941769765843,0.007379344463348425,0.6447048661206354,0.9999643961588541,1.0,0.9998202331006039,0.9984577673250814,0.9988982232010524,-1.194410226385774,0.03786386960806946
47,model.input_blocks.12.0.out_layers.3,1327104,4.735574066216941e-07,0.0008614098187536001,0.002805843949317932,0.0008614100515842438,0.005522687604108195,0.001594262587441038,0.9998787803191277,-0.8900084438267108,0.0007281810523023849,0.00961636638641361,0.3114316140510024,0.9999660915798612,1.0,0.9999818816197433,0.999701428257597,0.999511768258193,-1.199322990224364,0.02760535891974965
48,model.input_blocks.13.0.in_layers.2,1769472,8.911475219974818e-07,0.000802003254648298,0.0033514797687530518,0.0008020037785172462,0.0066576060347669705,0.0019218853181655938,1.0005292846780447,-0.9040308295134416,-0.0015719632386339553,0.008026605033874534,0.5371283621276224,0.9999858714916088,1.0,0.9999825852599081,1.0003651826036295,1.0003885192926483,-1.2003304280729479,0.026823717415332793
49,model.input_blocks.13.0.emb_layers.1,524288,1.1236053865104623e-07,0.00033435909426771104,0.0015125907957553864,0.0003343591233715415,0.00265342302209749,0.0007659772480409681,0.9989050369270781,-0.5852182309260989,0.0017686334440967857,0.01663618040084841,0.007801713562883989,0.9998207092285156,1.0,0.9999111381527339,0.9976904645542308,0.9974733285554767,-1.1920657995378208,0.03850616468116641
50,model.input_blocks.13.0.cond_emb_layers.1,262144,-7.218131941044703e-07,0.0008803474484011531,0.0025123506784439087,0.0008803476230241358,0.004958251564521489,0.0014313239377431823,1.0009057946601063,-1.045252171071359,-0.0014123878777619644,0.009331835842132541,0.34644727705720557,0.9999732971191406,1.0,0.9998419980630077,0.9997494233678226,0.9997468934252194,-1.192374849863987,0.03755277121672407
51,model.input_blocks.13.0.out_layers.3,2359296,1.111729286407126e-08,0.000969690561760217,0.003957189619541168,0.000969690503552556,0.006304551297285426,0.0018199671943037725,1.0003391197789613,-0.7983801147058567,-0.000714989537931095,0.012910074758529677,0.0707251492862433,0.9989738464355469,1.0,0.9999885266285369,1.0002224700072886,1.0002416628491377,-1.198840183013954,0.027714244845323265
52,model.input_blocks.14.0.in_layers.2,2359296,-6.151060460979352e-08,0.000773539359215647,0.0030870544724166393,0.0007735391845926642,0.006115995288833859,0.0017655357631853558,1.0000287855299683,-0.6501346728543878,-0.00017874572472669512,0.00438688011169433,0.9901811430226023,0.9999703301323785,1.0,0.9999888826253831,0.9998936639712603,0.9997500938116861,-1.198816256183034,0.026623758907895534
53,model.input_blocks.14.0.emb_layers.1,524288,-5.1427797131964326e-08,0.0003306843573227525,0.0015769973397254944,0.0003306843573227525,0.0027738222925681767,0.0008007335236492109,0.9981201163365614,-0.13543933418133136,0.0023992449823147964,0.009837790966033932,0.28593131052967613,0.9998130798339844,1.0,0.999902565145167,0.9969428621797993,0.9972279827994116,-1.1885597594981157,0.037707038602093235
54,model.input_blocks.14.0.cond_emb_layers.1,262144,-1.453534764550568e-06,0.000855203834362328,0.0023697614669799805,0.0008552051731385291,0.004610928024832658,0.0013310602681755623,1.0002439340911464,-0.9842987875744935,0.00039915165253647243,0.009172151947021479,0.3671983467368982,0.9999618530273438,1.0,0.9998314725369739,0.9990492678519278,0.9995709237886896,-1.1945185425332934,0.03860374941723421
55,model.input_blocks.14.0.out_layers.3,2359296,6.768401590306894e-07,0.0011063598794862628,0.004139132797718048,0.0011063602287322283,0.007210185208658534,0.0020814011855630316,0.9996646641406809,-0.6681331557710211,0.0004191214792057609,0.008361466979980414,0.48402529795024474,0.9992713928222656,1.0,0.9999893762353538,0.9995329395647605,0.9996995070578583,-1.1989620074061917,0.027385578703135252
56,model.middle_block.0.in_layers.2,2359296,2.1643055347908557e-08,0.0007638730457983911,0.0038008028641343117,0.0007638730457983911,0.007027291406796673,0.0020286042926940017,0.9994545742548856,-0.7255043773046101,-0.000799497794140496,0.009036977577209448,0.38537207809568164,0.9998469882541232,1.0,0.9999912907535207,0.999319714421331,0.9993304818505977,-1.1978550803783459,0.026763898540753873
57,model.middle_block.0.emb_layers.1,524288,2.9629069331349456e-07,0.00032572014606557786,0.00135035440325737,0.0003257203206885606,0.002479476018214789,0.000715763073282765,0.99903522038948,-0.6593150606975655,0.001474687348218049,0.00853008389472959,0.4582523771954783,0.9999103546142578,1.0,0.9999146671200468,0.9978759221308435,0.9973855760233263,-1.190025181157492,0.03785286328638904
58,model.middle_block.0.cond_emb_layers.1,262144,1.3255287285574013e-06,0.0008055470534600317,0.002668781206011772,0.0008055481594055891,0.00503729272076464,0.0014541411541602039,1.0004904670873522,-0.9128179955975471,-0.004538106573494378,0.009160683012008675,0.36871882267050626,0.9998664855957031,1.0,0.9998271437782552,0.9992698789679049,0.9988124321960912,-1.194038028515298,0.03830034949351102
59,model.middle_block.0.out_layers.3,2359296,-5.980312494102691e-07,0.001010129926726222,0.0037187784910202026,0.001010129926726222,0.007393381727023388,0.0021342854651593066,1.0002482700986173,-0.5696579868729326,0.0004012202914047294,0.006743971729278542,0.7506372857825472,0.9999881320529513,1.0,0.9999886242492433,1.0001043694555865,1.0000957355500852,-1.199395239827844,0.026945108955260366
60,model.middle_block.2.in_layers.2,2359296,3.637830161551392e-07,0.000761425937525928,0.0028745681047439575,0.0007614259957335889,0.005346316286898035,0.0015433485737067307,1.000137701908108,-0.9503998355891659,0.0009357085640649078,0.006107520103454611,0.8474384455909292,0.9998580084906684,1.0,0.9999893202154181,1.0000187841206227,1.0003258020417292,-1.1990970717450873,0.02755820245947689
61,model.middle_block.2.emb_layers.1,524288,1.5846720202716824e-07,0.0003251131565775722,0.0013666003942489624,0.00032511321478523314,0.002512770609592828,0.0007253743939300997,0.9987686591682892,-0.7421333932976171,0.0036123101136014512,0.0064019165039062575,0.8045200067135425,0.9998798370361328,1.0,0.9999147779963882,0.9977031043870213,0.9973762845787457,-1.1917276184141627,0.037101765716215596
