layer_idx,layer_name,block_name,layer_type,fid_sensitivity,w_std,w_kurtosis,w_delta_over_std,pch_delta_over_std_mean,act_std_mean,act_std_cv,act_delta_over_std_mean,act_err_rel_l2_mean,w_err_std_ratio,w_err_kurtosis,w_err_pch_kurtosis_mean,w_err_entropy_ratio
83,model.output_blocks.3.0.out_layers.3,model.output_blocks.3,out_layers,0.0,0.10860253125429153,1.6292627275710831,0.07408798492328793,0.040768932551145554,0.27665835520252585,0.06823022859851396,0.13331149522748917,0.08775188204366714,1.000108279000269,-0.8256201905902292,-1.1997444515675078,0.9999801481733422
84,model.output_blocks.4.0.in_layers.2,model.output_blocks.4,in_layers,0.0,0.08079742640256882,1.0453487133427606,0.13271705081911822,0.04573260247707367,0.43801011361181735,0.010445501320566507,0.07827763221259854,0.10387109020724893,0.9999687008550135,0.11139118486426902,-1.1993648781221171,0.9999906147311818
85,model.output_blocks.4.0.emb_layers.1,model.output_blocks.4,emb_layers,0.0,0.05096026137471199,2.3073201168413817,0.10233957595283197,0.02435600757598877,0.13566144950687886,0.33461811725941315,0.13179950001030205,0.040651018619537356,0.9995671039725843,1.9163686315444277,-1.195849204368998,0.9999020140950703
86,model.output_blocks.4.0.cond_emb_layers.1,model.output_blocks.4,cond_emb_layers,0.0,0.10727807134389877,0.6662595447115791,0.042176522973051044,0.02802092581987381,0.07437130622565746,0.0,0.030072317630302825,0.008761210348457098,0.999002906809994,-0.9469565128711706,-1.1892633860455606,0.9998232948974501
87,model.output_blocks.4.0.out_layers.3,model.output_blocks.4,out_layers,0.0,0.10486787557601929,2.445518482785684,0.08786768499540704,0.04133618250489235,0.2804520404711366,0.05279229403743769,0.10878123033019631,0.04581396720837802,1.0005865819196254,-0.5512537662137147,-1.1993860914931098,0.9999807774101025
88,model.output_blocks.5.0.in_layers.2,model.output_blocks.5,in_layers,0.0,0.08224181830883026,1.3214526740033161,0.10927834246889007,0.04530388116836548,0.3948941013216972,0.007435483090836174,0.08797661002116204,0.03167745467973873,0.9996433970564186,0.6409668997963216,-1.1990219895983936,0.9999885601693306
89,model.output_blocks.5.0.emb_layers.1,model.output_blocks.5,emb_layers,0.0,0.05069751292467117,1.1515873883391627,0.07668725860813924,0.024122243747115135,0.13566144950687886,0.33461811725941315,0.13103282039938033,0.04062240594998002,0.9986377530379754,0.526722401339395,-1.1912720516248898,0.9999059592972914
90,model.output_blocks.5.0.cond_emb_layers.1,model.output_blocks.5,cond_emb_layers,0.0,0.10238063335418701,0.6745245129112285,0.04247891454903349,0.028046155348420143,0.07437130622565746,0.0,0.02988621337102878,0.018225162868620828,0.9988055152317923,-0.9793717872096508,-1.1899185632976952,0.9998183397234139
91,model.output_blocks.5.0.out_layers.3,model.output_blocks.5,out_layers,0.0,0.08989445865154266,1.1166851768378008,0.09050918893503332,0.03837473317980766,0.29434696678072214,0.07653400429976871,0.09791503883718104,0.051600635130889715,0.9993663055313696,-0.6055165238645768,-1.197087680910939,0.9999790727483848
92,model.output_blocks.5.2.in_layers.2,model.output_blocks.5,in_layers,0.0,0.08684948086738586,0.5790165044566091,0.07767079406061035,0.03642480447888374,0.3768236053735018,0.011012721563485055,0.06164937491127429,0.03695770651334897,1.0004781817328512,-0.46833554394860943,-1.1998419990453197,0.9999817675543702
93,model.output_blocks.5.2.emb_layers.1,model.output_blocks.5,emb_layers,0.0,0.05263660475611687,0.5957548078995294,0.05660263772337912,0.023271216079592705,0.13566144950687886,0.33461811725941315,0.1309199089655268,0.040419790036976336,0.9993316174716019,-0.38017950110882737,-1.1923747506936009,0.9999041889060956
94,model.output_blocks.5.2.cond_emb_layers.1,model.output_blocks.5,cond_emb_layers,0.0,0.10839419811964035,0.708997049913044,0.04510495634103535,0.028441665694117546,0.07437130622565746,0.0,0.03101157518577537,0.00903228156035766,0.9985386442957821,-0.9891362715202843,-1.1932284804607143,0.9998028727142043
95,model.output_blocks.5.2.out_layers.3,model.output_blocks.5,out_layers,0.0,0.10006649792194366,1.1720660806918328,0.1365477873502823,0.03712920472025871,0.38335308372974397,0.10615055868565623,0.10434219386276392,0.07055376413743943,1.0006735085455907,0.4548744570930361,-1.200299377727279,0.999980076404176
96,model.output_blocks.6.0.in_layers.2,model.output_blocks.6,in_layers,0.0,0.08487808704376221,1.1328777301348003,0.13448527805874438,0.04463393986225128,0.36476347167044876,0.028501399445954888,0.10365531680247525,0.03023951709968969,1.0000743136084134,0.01417844562193693,-1.1999452019431787,0.9999819644902442
97,model.output_blocks.6.0.emb_layers.1,model.output_blocks.6,emb_layers,0.0,0.052675772458314896,2.4912705933680135,0.0810372500358359,0.02513054572045803,0.13566144950687886,0.33461811725941315,0.13117849497409845,0.040913226194679735,0.9994867845960984,1.1511088790024582,-1.1952237730915738,0.9998722890457721
98,model.output_blocks.6.0.cond_emb_layers.1,model.output_blocks.6,cond_emb_layers,0.0,0.09677283465862274,0.9206395982876878,0.05094833487899059,0.028464877977967262,0.07437130622565746,0.0,0.031219707983170687,0.00922107009915635,0.9962589367487888,-0.7795285405317784,-1.1835377715503193,0.9997489420938352
99,model.output_blocks.6.0.out_layers.3,model.output_blocks.6,out_layers,0.0,0.10915664583444595,3.9670776018283656,0.17053236364848262,0.04744892194867134,0.3357820976339281,0.09720080675970291,0.11097597684607324,0.04620463674422354,1.0001238679795101,1.282241618734517,-1.1997760208127206,0.9999549308621817
