layer_idx,layer_name,numel,w_min,w_max,w_range,w_mean,w_std,w_kurtosis,delta_int8,delta_over_std,precision_ratio,fp32_precision,int8_over_fp32,pch_delta_int8_mean,pch_delta_over_std_mean,pch_delta_over_std_max
32,model.input_blocks.9.0.in_layers.2,589824,-1.5046948194503784,0.9372783899307251,2.4419732093811035,-0.0008951446507126093,0.08024141937494278,2.640423409609423,0.009614067753468911,0.11981427831461453,0.3473341168161811,2.9110589139236254e-07,33026.015748031496,0.0035560117103159428,0.04424598067998886,0.12608876824378967
33,model.input_blocks.9.0.emb_layers.1,262144,-0.547102689743042,0.42952069640159607,0.9766233861446381,-0.0007696726825088263,0.04564980790019035,3.9482659843222967,0.0038449739611993625,0.0842276044079279,0.3473341168161811,1.164225800209806e-07,33026.015748031496,0.0011460413224995136,0.02764616720378399,0.05321834981441498
34,model.input_blocks.9.0.cond_emb_layers.1,131072,-0.5288266539573669,0.5496488809585571,1.078475534915924,-0.009303010068833828,0.10069394111633301,0.6147916957169022,0.004245966672897339,0.04216705221568149,0.3473341168161811,1.2856430231522609e-07,33026.015748031496,0.0027817892841994762,0.028007812798023224,0.04103660210967064
35,model.input_blocks.9.0.out_layers.3,589824,-0.8516833186149597,0.7412611246109009,1.5929444432258606,-0.001504055573605001,0.08448679745197296,3.371165932183688,0.0062714348158498445,0.07422976139367396,0.34733411681618115,1.8989377537081964e-07,33026.015748031496,0.0035976474173367023,0.0427987203001976,0.07866064459085464
36,model.input_blocks.10.0.in_layers.2,884736,-1.1772549152374268,0.8356714248657227,2.0129263401031494,-0.0027024815790355206,0.08279401063919067,1.6265814363597908,0.007924906850799801,0.09571835920885823,0.3473341168161811,2.399595189217507e-07,33026.015748031496,0.0035336508881300688,0.0428084135055542,0.10525958985090256
37,model.input_blocks.10.0.emb_layers.1,393216,-0.41340431571006775,0.45701754093170166,0.8704218566417694,-0.0006937974249012768,0.0487595871090889,1.6578799583832096,0.003426857703314053,0.0702806956830239,0.3473341168161811,1.037623711397373e-07,33026.015748031496,0.0011166810290887952,0.024670010432600975,0.04888615012168884
38,model.input_blocks.10.0.cond_emb_layers.1,196608,-0.6333666443824768,0.6289628744125366,1.2623295187950134,-0.007775871083140373,0.10883786529302597,0.7046343338842274,0.004969801255098478,0.045662428619603464,0.3473341168161811,1.5048140511453312e-07,33026.015748031496,0.0030227527022361755,0.02814670465886593,0.0451846607029438
39,model.input_blocks.10.0.out_layers.3,1327104,-0.7560035586357117,0.6880636215209961,1.4440671801567078,-0.0010954290628433228,0.07457097619771957,3.013706573055618,0.005685303858884676,0.07624016941570219,0.3473341168161811,1.7214622261008117e-07,33026.015748031496,0.0034398429561406374,0.04615761339664459,0.07299288362264633
40,model.input_blocks.11.0.in_layers.2,1327104,-1.1125211715698242,0.7804180979728699,1.892939269542694,-0.0027164777275174856,0.08109775185585022,0.9088340573740568,0.007452516809223205,0.09189547969687276,0.3473341168161811,2.2565594548495937e-07,33026.015748031496,0.0032292429823428392,0.03983307257294655,0.10272838175296783
41,model.input_blocks.11.0.emb_layers.1,393216,-0.3645492196083069,0.3891333043575287,0.7536825239658356,-0.00027266275719739497,0.047003600746393204,1.2208791018019491,0.0029672540313615573,0.06312822813954566,0.3473341168161811,8.984595822880692e-08,33026.015748031496,0.0010554296895861626,0.02408369816839695,0.05242201313376427
42,model.input_blocks.11.0.cond_emb_layers.1,196608,-0.6113687753677368,0.7076496481895447,1.3190184235572815,-0.006270626559853554,0.10509873926639557,0.6317794285664822,0.0051929859195168565,0.04941054436728014,0.3473341168161811,1.57239249176655e-07,33026.015748031496,0.0029228413477540016,0.028221370652318,0.045293379575014114
43,model.input_blocks.11.0.out_layers.3,1327104,-0.9283174872398376,0.6677653789520264,1.596082866191864,-0.0016525036189705133,0.07781412452459335,2.290768350469344,0.006283790811778992,0.08075385863542331,0.3473341168161811,1.9026790454290676e-07,33026.015748031496,0.00346708414144814,0.04450702294707298,0.0873723104596138
44,model.input_blocks.12.0.in_layers.2,1327104,-0.7185155749320984,0.3913811147212982,1.1098966896533966,-0.002464579651132226,0.08293160796165466,0.22777789851222519,0.004369672006509435,0.052690067320015826,0.34733411681618115,1.3230999584834535e-07,33026.015748031496,0.0027391931507736444,0.03312603011727333,0.06881449371576309
45,model.input_blocks.12.0.emb_layers.1,393216,-0.23055478930473328,0.2376687079668045,0.4682234972715378,-0.0006194290472194552,0.049898408353328705,0.37335123805446147,0.0018433995955572354,0.03694305402423362,0.3473341168161811,5.581659046072218e-08,33026.015748031496,0.0010912907309830189,0.022549932822585106,0.03330910578370094
46,model.input_blocks.12.0.cond_emb_layers.1,196608,-0.6117396354675293,0.5909547209739685,1.2026943564414978,-0.005286797881126404,0.10865268856287003,0.45971640411473214,0.00473501715134448,0.04357938320652842,0.3473341168161811,1.4337233977812502e-07,33026.015748031496,0.002991260727867484,0.02777174301445484,0.04530123248696327
47,model.input_blocks.12.0.out_layers.3,1327104,-0.7127919793128967,0.6899706721305847,1.4027626514434814,-0.0009935537818819284,0.07048530876636505,1.2483473489432964,0.005522687604108195,0.07835232193329368,0.3473341168161811,1.6722233908694761e-07,33026.015748031496,0.002933020470663905,0.04160095751285553,0.07396529614925385
48,model.input_blocks.13.0.in_layers.2,1769472,-0.8514004349708557,0.8396314978599548,1.6910319328308105,-0.0022718855179846287,0.0837361142039299,0.20403521531387536,0.0066576060347669705,0.07950698570121861,0.3473341168161811,2.0158671532044536e-07,33026.015748031496,0.0027423433493822813,0.032933082431554794,0.08660970628261566
49,model.input_blocks.13.0.emb_layers.1,524288,-0.38458725810050964,0.2893821895122528,0.6739694476127625,-0.00048061879351735115,0.050434064120054245,0.7752307448379296,0.00265342302209749,0.05261172321406852,0.3473341168161811,8.03434190288499e-08,33026.015748031496,0.0011189185315743089,0.02290436066687107,0.04427582398056984
50,model.input_blocks.13.0.cond_emb_layers.1,262144,-0.6383889317512512,0.621006965637207,1.2593958973884583,-0.006776021793484688,0.11054765433073044,0.35862123132501234,0.004958251564521489,0.04485171209189849,0.3473341168161811,1.501316901908467e-07,33026.015748031496,0.003017355455085635,0.027565671131014824,0.04693790525197983
51,model.input_blocks.13.0.out_layers.3,2359296,-1.0052635669708252,0.5960924625396729,1.601356029510498,-0.001867527374997735,0.07593531161546707,1.189938684470949,0.006304551297285426,0.08302529038306128,0.3473341168161811,1.9089651459580637e-07,33026.015748031496,0.0032959585078060627,0.04338334873318672,0.10130655765533447
52,model.input_blocks.14.0.in_layers.2,2359296,-0.7843931317329407,0.7690696716308594,1.5534628033638,-0.0016934762243181467,0.07879745960235596,0.18497077747527513,0.006115995288833859,0.07761665565895198,0.3473341168161811,1.851871971325636e-07,33026.015748031496,0.002622278407216072,0.03339815512299538,0.0828130692243576
53,model.input_blocks.14.0.emb_layers.1,524288,-0.4015321135520935,0.3030187487602234,0.7045508623123169,-0.0004397139709908515,0.04623287916183472,1.8988301450398986,0.0027738222925681767,0.05999674566662015,0.3473341168161811,8.39890077486416e-08,33026.015748031496,0.0010901314672082663,0.024152617901563644,0.04364972934126854
54,model.input_blocks.14.0.cond_emb_layers.1,262144,-0.6019658446311951,0.5692098736763,1.1711757183074951,-0.009829546324908733,0.10628635436296463,0.3511186535049191,0.004610928024832658,0.04338212607277034,0.3473341168161811,1.396150253185624e-07,33026.015748031496,0.0029215379618108273,0.02767270989716053,0.041399892419576645
55,model.input_blocks.14.0.out_layers.3,2359296,-1.051384687423706,0.7800023555755615,1.8313870429992676,-0.0015605087392032146,0.0791345164179802,1.4660863670502131,0.007210185208658534,0.09111302545255955,0.3473341168161811,2.1831834828844876e-07,33026.015748031496,0.00372990220785141,0.047072380781173706,0.10177817940711975
56,model.middle_block.0.in_layers.2,2359296,-0.9658240079879761,0.8191080093383789,1.784932017326355,-0.0018600954208523035,0.08044547587633133,0.11764581544631447,0.007027291406796673,0.08735471237080329,0.3473341168161811,2.1278047768191755e-07,33026.015748031496,0.0026070037856698036,0.03257802501320839,0.09670846164226532
57,model.middle_block.0.emb_layers.1,524288,-0.3436909317970276,0.2860959768295288,0.6297869086265564,-0.0006586677627637982,0.04686255753040314,1.0179843390183736,0.002479476018214789,0.05290953265948543,0.3473341168161811,7.507644994575458e-08,33026.015748031496,0.001099239569157362,0.023975763469934464,0.04368490353226662
