layer_idx,layer_name,act_std_mean,act_std_cv,delta_over_std_mean,delta_over_std_max,err_rel_l2_mean,err_rel_l2_max
73,model.output_blocks.2.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13109949349296568,0.2681009302715924,0.04276534341275692,0.11894457042217255
74,model.output_blocks.2.0.cond_emb_layers.1,0.07437130622565746,0.0,0.030294803961102724,0.033898589857465994,0.008844545158790424,0.009900755132548511
75,model.output_blocks.2.0.out_layers.3,0.2652306744083762,0.0738870985959987,0.07282004388799548,0.1049934260859454,0.11853344113565982,0.13197161071002483
76,model.output_blocks.2.1.in_layers.2,0.5312595155090094,0.01545011521117516,0.05975445670743212,0.060517902991508665,0.30896995045244696,0.3374122679233551
77,model.output_blocks.2.1.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13116526512089172,0.2755472346491998,0.042000713385641576,0.1172378733754158
78,model.output_blocks.2.1.cond_emb_layers.1,0.07437130622565746,0.0,0.029837704620717633,0.033514734707829084,0.008715251706307754,0.009955798392184079
79,model.output_blocks.2.1.out_layers.3,0.2965844134427607,0.06020602046376093,0.09380108134775204,0.13156806654371084,0.06887164419982582,0.08592886151745915
80,model.output_blocks.3.0.in_layers.2,0.4933370117470622,0.017237814194147397,0.08403769814795364,0.08602849655753189,0.2528105609305203,0.28332315757870674
81,model.output_blocks.3.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13164242290138164,0.27288507737133716,0.04140686420723796,0.1100657656788826
82,model.output_blocks.3.0.cond_emb_layers.1,0.07437130622565746,0.0,0.02988234025319538,0.03345290971397779,0.008739334939746187,0.009707216289825737
83,model.output_blocks.3.0.out_layers.3,0.27665835520252585,0.06823022859851396,0.13331149522748917,0.17538615484748613,0.08775188204366714,0.0981907369568944
84,model.output_blocks.4.0.in_layers.2,0.43801011361181735,0.010445501320566507,0.07827763221259854,0.07934511620931674,0.10387109020724893,0.12215420044958591
85,model.output_blocks.4.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13179950001030205,0.276183460978034,0.040651018619537356,0.10785383731126785
86,model.output_blocks.4.0.cond_emb_layers.1,0.07437130622565746,0.0,0.030072317630302825,0.03413914695179227,0.008761210348457098,0.009924640762619674
87,model.output_blocks.4.0.out_layers.3,0.2804520404711366,0.05279229403743769,0.10878123033019631,0.15496000451185388,0.04581396720837802,0.05771209532395005
88,model.output_blocks.5.0.in_layers.2,0.3948941013216972,0.007435483090836174,0.08797661002116204,0.08952650520881802,0.03167745467973873,0.034514511935412884
89,model.output_blocks.5.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13103282039938033,0.26978029149728006,0.04062240594998002,0.1087343618273735
90,model.output_blocks.5.0.cond_emb_layers.1,0.07437130622565746,0.0,0.02988621337102878,0.03414382310984512,0.018225162868620828,0.33841607347130775
91,model.output_blocks.5.0.out_layers.3,0.29434696678072214,0.07653400429976871,0.09791503883718104,0.15160687843394277,0.051600635130889715,0.06107897451147437
92,model.output_blocks.5.2.in_layers.2,0.3768236053735018,0.011012721563485055,0.06164937491127429,0.06320387857320826,0.03695770651334897,0.041118239518254995
93,model.output_blocks.5.2.emb_layers.1,0.13566144950687886,0.33461811725941315,0.1309199089655268,0.266537729438318,0.040419790036976336,0.10694687813520432
94,model.output_blocks.5.2.cond_emb_layers.1,0.07437130622565746,0.0,0.03101157518577537,0.03412811285954475,0.00903228156035766,0.010105416644364595
95,model.output_blocks.5.2.out_layers.3,0.38335308372974397,0.10615055868565623,0.10434219386276392,0.1384881162583394,0.07055376413743943,0.1440773131325841
96,model.output_blocks.6.0.in_layers.2,0.36476347167044876,0.028501399445954888,0.10365531680247525,0.10591047274447743,0.03023951709968969,0.031156684970483184
97,model.output_blocks.6.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13117849497409845,0.2659791531886685,0.040913226194679735,0.10831359028816223
98,model.output_blocks.6.0.cond_emb_layers.1,0.07437130622565746,0.0,0.031219707983170687,0.03520658572998425,0.00922107009915635,0.02294854959473014
99,model.output_blocks.6.0.out_layers.3,0.3357820976339281,0.09720080675970291,0.11097597684607324,0.1386973916464407,0.04620463674422354,0.3043893203139305
100,model.output_blocks.7.0.in_layers.2,0.35762106828391554,0.02583853651575943,0.08670215409688592,0.0891561878392941,0.02958340196404606,0.032422652933746576
101,model.output_blocks.7.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13074593807522036,0.2657621670619547,0.04058245019987226,0.11251570284366608
102,model.output_blocks.7.0.cond_emb_layers.1,0.07437130622565746,0.0,0.0305805085410507,0.03338909687965867,0.00900850178906694,0.014433601638302207
