idx,layer_name,numel,residual_mean,residual_std,residual_abs_max,residual_MAE,residual_RMSE,residual_rel_L2,residual_q99_abs,residual_q999_abs,w_lora_mean,w_lora_std,w_lora_q_mean,w_lora_q_std,ks_distance
44,model.input_blocks.12.0.in_layers.2,1327104,-1.394795276610239e-06,0.0007997503853403032,0.002828039228916168,0.0006846474134363234,0.0007997514330781996,0.009639251874614906,0.0016128271119669078,0.002282249510288367,-0.002464579651132226,0.08293160796165466,-0.0024659743066877127,0.08293557167053223,0.006920000000000037
45,model.input_blocks.12.0.emb_layers.1,393216,-8.646033506920503e-07,0.0003223348467145115,0.0009356364607810974,0.000272809382295236,0.0003223360108677298,0.006459348846822852,0.0006660919520072637,0.0007775374781340197,-0.0006194290472194552,0.049898408353328705,-0.000620293605607003,0.04989960789680481,0.0047800000000000065
46,model.input_blocks.12.0.cond_emb_layers.1,196608,1.3470183830577298e-06,0.0008736714953556657,0.002402074635028839,0.0007473218720406294,0.000873672601301223,0.008031464943860036,0.0017882916331291195,0.0021770115550607443,-0.005286797881126404,0.10865268856287003,-0.00528545118868351,0.10865689814090729,0.005870000000000042
47,model.input_blocks.12.0.out_layers.3,1327104,-4.735574066216941e-07,0.0008614098187536001,0.002805843949317932,0.0007330857333727181,0.0008614100515842438,0.012219918254920577,0.0018464192561805245,0.00236377788335085,-0.0009935537818819284,0.07048530876636505,-0.000994027592241764,0.07048984616994858,0.008979999999999988
48,model.input_blocks.13.0.in_layers.2,1769472,-8.911475219974818e-07,0.000802003254648298,0.0033514797687530518,0.0006860102876089513,0.0008020037785172462,0.009574232316558982,0.00161057710647583,0.002465862727724067,-0.0022718855179846287,0.0837361142039299,-0.0022727763280272484,0.08373968303203583,0.006709999999999994
49,model.input_blocks.13.0.emb_layers.1,524288,-1.1236053865104623e-07,0.00033435909426771104,0.0015125907957553864,0.0002791600418277085,0.0003343591233715415,0.006629327479252516,0.0007328177243471146,0.0011115462519228365,-0.00048061879351735115,0.050434064120054245,-0.00048073113430291414,0.05043566972017288,0.004770000000000052
50,model.input_blocks.13.0.cond_emb_layers.1,262144,7.218131941044703e-07,0.0008803474484011531,0.0025123506784439087,0.0007543228566646576,0.0008803476230241358,0.007948596636031337,0.001730441972613335,0.002130050403065974,-0.006776021793484688,0.11054765433073044,-0.006775300484150648,0.11055386811494827,0.005859999999999976
51,model.input_blocks.13.0.out_layers.3,2359296,-1.111729286407126e-08,0.000969690561760217,0.003957189619541168,0.0008240442257374525,0.000969690503552556,0.012766100778707223,0.0020113627659156907,0.003170094969682435,-0.001867527374997735,0.07593531161546707,-0.0018675391329452395,0.07594054937362671,0.00945000000000007
52,model.input_blocks.14.0.in_layers.2,2359296,6.151060460979352e-08,0.000773539359215647,0.0030870544724166393,0.0006554769352078438,0.0007735391845926642,0.009814541557855215,0.0017569370567798587,0.002659041751176129,-0.0016934762243181467,0.07879745960235596,-0.0016934155719354749,0.0788017213344574,0.006869999999999932
53,model.input_blocks.14.0.emb_layers.1,524288,5.1427797131964326e-08,0.0003306843573227525,0.0015769973397254944,0.00027161993784829974,0.0003306843573227525,0.007152258038795242,0.0007808425277471545,0.0012605864480137764,-0.0004397139709908515,0.04623287916183472,-0.0004396626027300954,0.04623396322131157,0.005209999999999937
54,model.input_blocks.14.0.cond_emb_layers.1,262144,1.453534764550568e-06,0.000855203834362328,0.0023697614669799805,0.000730375584680587,0.0008552051731385291,0.008012045441981228,0.0017727124900557103,0.0020766343325376506,-0.009829546324908733,0.10628635436296463,-0.009828092530369759,0.10628508776426315,0.005330000000000057
55,model.input_blocks.14.0.out_layers.3,2359296,-6.768401590306894e-07,0.0011063598794862628,0.004139132797718048,0.000931945105548948,0.0011063602287322283,0.013978042832905919,0.002509664930403232,0.00349402907304466,-0.0015605087392032146,0.0791345164179802,-0.0015611856942996383,0.07914114743471146,0.009730000000000016
56,model.middle_block.0.in_layers.2,2359296,-2.1643055347908557e-08,0.0007638730457983911,0.0038008028641343117,0.0006512601976282895,0.0007638730457983911,0.009492995431701633,0.0015353785827755921,0.0026759892608970957,-0.0018600954208523035,0.08044547587633133,-0.0018601162591949105,0.08044879883527756,0.006709999999999994
57,model.middle_block.0.emb_layers.1,524288,-2.9629069331349456e-07,0.00032572014606557786,0.00135035440325737,0.0002741559292189777,0.0003257203206885606,0.0069498592678307585,0.0007160479202866555,0.001064063655212521,-0.0006586677627637982,0.04686255753040314,-0.0006589640397578478,0.046863146126270294,0.005210000000000048
58,model.middle_block.0.cond_emb_layers.1,262144,-1.3255287285574013e-06,0.0008055470534600317,0.002668781206011772,0.0006860592402517796,0.0008055481594055891,0.008028415172263029,0.001711089462041856,0.0021644725766964065,-0.003094916930422187,0.10028939694166183,-0.0030962435994297266,0.10029146075248718,0.00598999999999994
59,model.middle_block.0.out_layers.3,2359296,5.980312494102691e-07,0.001010129926726222,0.0037187784910202026,0.0008470694883726537,0.001010129926726222,0.013230300252185708,0.0024151583667844515,0.0031887748464941995,-0.0010939716594293714,0.07634193450212479,-0.001093373168259859,0.07634861767292023,0.00936999999999999
60,model.middle_block.2.in_layers.2,2359296,-3.637830161551392e-07,0.000761425937525928,0.0028745681047439575,0.0006518890149891376,0.0007614259957335889,0.009330519987607604,0.0015169683727435754,0.0022849546652287354,-0.0020031591411679983,0.08158138394355774,-0.0020035230554640293,0.08158479630947113,0.00607000000000002
61,model.middle_block.2.emb_layers.1,524288,-1.5846720202716824e-07,0.0003251131565775722,0.0013666003942489624,0.00027500756550580263,0.00032511321478523314,0.006942331439452745,0.0007041444070637227,0.001029963333159684,-0.0009210336720570922,0.04682149738073349,-0.0009211921715177596,0.046822719275951385,0.005079999999999973
62,model.middle_block.2.cond_emb_layers.1,262144,1.3359884860619786e-06,0.0007607679581269622,0.002665415406227112,0.0006473008543252945,0.0007607691222801805,0.007936830940788748,0.0016200882196426396,0.0020017196983098894,-0.0009207973489537835,0.09584859013557434,-0.0009194613667204976,0.09585262835025787,0.005649999999999933
63,model.middle_block.2.out_layers.3,2359296,6.839806587777275e-07,0.0008109876071102917,0.0037881582975387573,0.0006883784662932158,0.0008109879563562572,0.010579215994772892,0.001726717781275507,0.002880383813753735,-0.0011130705242976546,0.07665053755044937,-0.001112385536544025,0.07665365934371948,0.007509999999999961
64,model.output_blocks.0.0.in_layers.2,4718592,-9.184142335527667e-09,0.0007769411895424128,0.00331009179353714,0.0006630372372455895,0.0007769411895424128,0.009929495751542129,0.0016321553289890267,0.002446861212141811,-0.0011163422605022788,0.07823792845010757,-0.0011163516901433468,0.07824154943227768,0.006620000000000015
65,model.output_blocks.0.0.emb_layers.1,524288,-1.3229251294433197e-07,0.0003512086404953152,0.0013929083943367004,0.00029281407478265464,0.00035120866959914565,0.006973813359509271,0.0008887932635843756,0.0012031080303713643,-0.0010991523740813136,0.050349075347185135,-0.0010992848547175527,0.05035078153014183,0.005160000000000053
66,model.output_blocks.0.0.cond_emb_layers.1,262144,-6.877870077914849e-07,0.0008029741002246737,0.0023169368505477905,0.000684054393786937,0.0008029743912629783,0.00786785505091022,0.0016803707927465447,0.002005860202014446,-0.0023417144548147917,0.10203073173761368,-0.002342402236536145,0.10203421860933304,0.006279999999999952
67,model.output_blocks.0.0.out_layers.3,2359296,3.9825397379900096e-07,0.0009425953612662852,0.003392629325389862,0.0007998107466846704,0.0009425956523045897,0.011121952711687113,0.0020745994523167603,0.0026720107789151423,-0.0013837652513757348,0.08473964780569077,-0.0013833678094670177,0.08474607765674591,0.00828000000000001
68,model.output_blocks.1.0.in_layers.2,4718592,2.8198151369451807e-08,0.0008188399369828403,0.003363102674484253,0.0006940082530491054,0.0008188399369828403,0.01033583390981723,0.0019051656126976013,0.002733806312084197,-0.0014533869689330459,0.0792100802063942,-0.0014533594949170947,0.07921409606933594,0.007349999999999968
69,model.output_blocks.1.0.emb_layers.1,524288,-2.3800339477020316e-07,0.0003811880887951702,0.0014192461967468262,0.0003069454978685826,0.00038118817610666156,0.006915423632418207,0.0010212831851094963,0.0012225678414106364,-0.00097676704172045,0.05511278659105301,-0.0009770049946382642,0.055114127695560455,0.004850000000000021
70,model.output_blocks.1.0.cond_emb_layers.1,262144,6.965098009459325e-07,0.0009000973077490926,0.002410273998975754,0.0007698959088884294,0.0009000975987873971,0.007935955770051895,0.0017886277451179928,0.0020449693650007243,-0.008788269013166428,0.11307919025421143,-0.008787575177848339,0.11308808624744415,0.005700000000000038
71,model.output_blocks.1.0.out_layers.3,2359296,-2.6131667141271464e-07,0.0011528421891853213,0.0042533245868980885,0.0009721069363877177,0.001152842422015965,0.012542561770202708,0.0026606960222125033,0.003463807324878892,-0.0013235558290034533,0.09190496057271957,-0.0013238177634775639,0.0919126346707344,0.00945000000000007
72,model.output_blocks.2.0.in_layers.2,4128768,1.7762917536856548e-07,0.0009369176696054637,0.004468828439712524,0.0007760413573123515,0.0009369177860207856,0.011538109906235319,0.0024947529472410697,0.003476066857576371,-0.001465805689804256,0.08118895441293716,-0.0014656276907771826,0.08119487017393112,0.007939999999999947
73,model.output_blocks.2.0.emb_layers.1,524288,3.356402658027946e-07,0.0003471443196758628,0.001580946147441864,0.0002884907880797982,0.0003471444360911846,0.006502674158916172,0.0008252846077084542,0.0010569091099314387,-0.001451941323466599,0.05336512625217438,-0.0014516058145090938,0.05336620658636093,0.004510000000000014
74,model.output_blocks.2.0.cond_emb_layers.1,262144,8.099995056909393e-07,0.0008959810365922749,0.002576397266238928,0.0007666589226573706,0.0008959813858382404,0.00805191792793081,0.0017808079719543457,0.0020976656908169356,-0.00735580874606967,0.1110321432352066,-0.007354998029768467,0.11103295534849167,0.005950000000000011
75,model.output_blocks.2.0.out_layers.3,2359296,-1.3407757251115981e-06,0.0011142711155116558,0.004534224048256874,0.0009427855839021504,0.0011142719304189086,0.012276798296369962,0.002487525716423987,0.0033719651028514125,-0.0018503088504076004,0.09074357897043228,-0.001851649140007794,0.09075190126895905,0.008839999999999959
76,model.output_blocks.2.1.in_layers.2,2359296,3.0027734965187847e-07,0.0008809752180241048,0.0034979023039340973,0.0007435146253556013,0.0008809750434011221,0.010848733394165628,0.0020802997052669497,0.0026508025266230376,-0.002275018487125635,0.08117347210645676,-0.0022747169714421034,0.08117729425430298,0.008559999999999901
77,model.output_blocks.2.1.emb_layers.1,524288,3.9210613067552913e-07,0.0003472001408226788,0.001516716554760933,0.00028476634179241955,0.00034720031544566154,0.006889882564130014,0.0009207146195694808,0.001242531520780173,-0.0008685258217155933,0.05038529634475708,-0.0008681336184963584,0.0503864623606205,0.00541999999999998
78,model.output_blocks.2.1.cond_emb_layers.1,262144,-6.881657554913545e-07,0.000916073564440012,0.002883031964302063,0.000784465461038053,0.0009160738554783165,0.008025386537990703,0.001823876015841961,0.0022914382480084855,-0.008760423399508,0.11381033807992935,-0.00876111164689064,0.11381368339061737,0.006399999999999961
79,model.output_blocks.2.1.out_layers.3,2359296,1.424675701855449e-06,0.0012675178004428744,0.0040816329419612885,0.0010762738529592752,0.0012675189645960927,0.012920584379201527,0.0027327861636876963,0.003357370463199916,-0.0018474799580872059,0.09808339178562164,-0.0018460556166246533,0.09809109568595886,0.009739999999999971
80,model.output_blocks.3.0.in_layers.2,3096576,4.0069772921924596e-07,0.0009756871731951833,0.0038815587759017944,0.000817669671960175,0.0009756871731951833,0.01237328656555672,0.002336728386580944,0.0033441246487200087,-0.0016589940059930086,0.07883688807487488,-0.0016585931880399585,0.07884201407432556,0.009399999999999964
81,model.output_blocks.3.0.emb_layers.1,393216,1.2153090267474909e-07,0.00034810134093277156,0.0018342584371566772,0.0002782674855552614,0.000348101370036602,0.006931091155765735,0.0010339137166738505,0.001497780606150626,-0.00109680590685457,0.05021120235323906,-0.0010966842528432608,0.05021296441555023,0.0049399999999999444
82,model.output_blocks.3.0.cond_emb_layers.1,196608,6.442553512897575e-07,0.0008809285936877131,0.0023858100175857544,0.0007519279606640339,0.0008809288265183568,0.008090808770804205,0.001798905320465564,0.002149994507431996,-0.006451392080634832,0.10868891328573227,-0.006450748071074486,0.108688585460186,0.006199999999999983
83,model.output_blocks.3.0.out_layers.3,1327104,1.496283744018001e-06,0.0013069745618849993,0.004211306571960449,0.0011079327668994665,0.0013069752603769302,0.012032183562567737,0.0028396544605493543,0.0036462102998048103,-0.002122625708580017,0.10860253125429153,-0.0021211302373558283,0.10861079394817352,0.008889999999999953
84,model.output_blocks.4.0.in_layers.2,2654208,-5.076584557173192e-07,0.0011176678817719221,0.006133547052741051,0.000918448087759316,0.0011176681146025658,0.013829345908250714,0.0029174073832109572,0.00423822960304097,-0.0018512451788410544,0.08079742640256882,-0.0018517530988901854,0.08080494403839111,0.009700000000000042
85,model.output_blocks.4.0.emb_layers.1,393216,7.529588401666842e-07,0.00036677485331892967,0.002854723483324051,0.00029183109290897846,0.00036677561001852155,0.007194214374299494,0.0011304715648293487,0.0017474833317100982,-0.0014897189103066921,0.05096026137471199,-0.0014889658195897937,0.05096030235290527,0.0050200000000000244
86,model.output_blocks.4.0.cond_emb_layers.1,196608,-2.0220520582370227e-06,0.0008678386220708489,0.00240403413772583,0.0007384477066807449,0.0008678408921696246,0.008081539034591217,0.001803685054183006,0.0021220917329192214,-0.004804774187505245,0.10727807134389877,-0.004806796088814735,0.10728579759597778,0.006190000000000029
87,model.output_blocks.4.0.out_layers.3,1327104,-1.4955497817936703e-07,0.0013010733528062701,0.004630271345376968,0.0010894947918131948,0.0013010733528062701,0.012404808187920505,0.003094497765414416,0.004095780491828932,-0.0018750032177194953,0.10486787557601929,-0.0018751525785773993,0.10487545281648636,0.009830000000000005
88,model.output_blocks.5.0.in_layers.2,2211840,-9.703328629484531e-08,0.0011445452691987157,0.0056947506964206696,0.0009290712769143283,0.0011445452691987157,0.013913472308411,0.0031639163196086825,0.005092125125229285,-0.0018058144487440586,0.08224181830883026,-0.0018059104913845658,0.08224920928478241,0.010009999999999963
89,model.output_blocks.5.0.emb_layers.1,393216,-3.2289915452565765e-07,0.00036105039180256426,0.0019680093973875046,0.0002948609471786767,0.00036105053732171655,0.007118652208726453,0.00099348500370979,0.0015641024708747849,-0.0014743190258741379,0.05069751292467117,-0.0014746417291462421,0.05069904029369354,0.004850000000000021
90,model.output_blocks.5.0.cond_emb_layers.1,196608,-1.0983109177686856e-06,0.0008271629922091961,0.002192605286836624,0.0007049711421132088,0.000827163748908788,0.008069011733012563,0.001683685481548309,0.0019260088764131169,-0.0051710354164242744,0.10238063335418701,-0.005172133911401033,0.10238422453403473,0.006340000000000012
91,model.output_blocks.5.0.out_layers.3,1327104,1.3429710179480026e-06,0.0010222147684544325,0.0044260174036026,0.0008626642520539463,0.001022215699777007,0.011369192165763044,0.0023205786198377595,0.0035275026559832556,-0.0017275572754442692,0.08989445865154266,-0.0017262141918763518,0.08989918231964111,0.008660000000000001
92,model.output_blocks.5.2.in_layers.2,1327104,-3.391909046968067e-07,0.0009394651860930026,0.004038646817207336,0.0007888789987191558,0.0009394651860930026,0.010809617956879009,0.002230126475915312,0.0033285700995475784,-0.003247844288125634,0.08684948086738586,-0.003248182823881507,0.08685342967510223,0.007399999999999962
